Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Year
New Orleans Hornets*,41,41,.500,20.0,91.8,91.9,-0.72,,2004
Milwaukee Bucks*,41,41,.500,20.0,98.0,97.0,0.42,,2004
Cleveland Cavaliers,35,47,.427,26.0,92.9,95.5,-3.07,,2004
Toronto Raptors,33,49,.402,28.0,85.4,88.5,-3.42,,2004
Atlanta Hawks,28,54,.341,33.0,92.8,97.5,-5.00,,2004
Chicago Bulls,23,59,.280,38.0,89.7,96.0,-6.69,,2004
,58,24,.707,—,94.5,89.1,5.86,Minnesota Timberwolves*,2004
,57,25,.695,1.0,91.5,84.3,7.51,San Antonio Spurs*,2004
,52,30,.634,6.0,105.2,100.8,4.86,Dallas Mavericks*,2004
,50,32,.610,8.0,96.7,94.3,2.95,Memphis Grizzlies*,2004
,45,37,.549,13.0,89.8,88.0,2.28,Houston Rockets*,2004
,43,39,.524,15.0,97.2,96.1,1.65,Denver Nuggets*,2004
,42,40,.512,16.0,88.7,89.9,-0.53,Utah Jazz,2004
,56,26,.683,—,98.2,94.3,4.35,Los Angeles Lakers*,2004
,55,27,.671,1.0,102.8,97.8,5.41,Sacramento Kings*,2004
,41,41,.500,15.0,90.7,92.0,-0.58,Portland Trail Blazers,2004
,37,45,.451,19.0,93.3,94.0,-0.07,Golden State Warriors,2004
,37,45,.451,19.0,97.1,97.8,0.02,Seattle SuperSonics,2004
,29,53,.354,27.0,94.2,97.9,-2.94,Phoenix Suns,2004
,28,54,.341,28.0,94.8,99.4,-3.74,Los Angeles Clippers,2004
Boston Celtics*,45,37,.549,—,101.3,100.4,0.35,,2005
Philadelphia 76ers*,43,39,.524,2.0,99.1,99.9,-1.07,,2005
New Jersey Nets*,42,40,.512,3.0,91.4,92.9,-1.82,,2005
Toronto Raptors,33,49,.402,12.0,99.7,101.4,-1.81,,2005
New York Knicks,33,49,.402,12.0,97.3,99.7,-2.72,,2005
Detroit Pistons*,54,28,.659,—,93.3,89.5,3.31,,2005
Chicago Bulls*,47,35,.573,7.0,94.5,93.4,0.65,,2005
Indiana Pacers*,44,38,.537,10.0,93.0,92.2,0.49,,2005
Cleveland Cavaliers,42,40,.512,12.0,96.5,95.7,0.27,,2005
Milwaukee Bucks,30,52,.366,24.0,97.2,100.2,-3.09,,2005
Miami Heat*,59,23,.720,—,101.5,95.0,5.77,,2005
Washington Wizards*,45,37,.549,14.0,100.5,100.8,-0.71,,2005
Orlando Magic,36,46,.439,23.0,99.5,101.8,-2.52,,2005
Charlotte Bobcats,18,64,.220,41.0,94.3,100.2,-6.15,,2005
Atlanta Hawks,13,69,.159,46.0,92.7,102.5,-9.62,,2005
,52,30,.634,—,98.9,96.6,2.59,Seattle SuperSonics*,2005
,49,33,.598,3.0,99.5,97.5,2.23,Denver Nuggets*,2005
,44,38,.537,8.0,96.8,95.3,1.73,Minnesota Timberwolves,2005
,27,55,.329,25.0,92.9,96.9,-3.45,Portland Trail Blazers,2005
,26,56,.317,26.0,93.0,97.3,-3.74,Utah Jazz,2005
,62,20,.756,—,110.4,103.3,7.08,Phoenix Suns*,2005
,50,32,.610,12.0,103.7,101.6,2.56,Sacramento Kings*,2005
,37,45,.451,25.0,95.7,96.5,-0.47,Los Angeles Clippers,2005
,34,48,.415,28.0,98.7,101.7,-2.32,Los Angeles Lakers,2005
,34,48,.415,28.0,98.7,100.9,-1.74,Golden State Warriors,2005
,59,23,.720,—,96.2,88.4,7.84,San Antonio Spurs*,2005
,58,24,.707,1.0,102.5,96.8,5.86,Dallas Mavericks*,2005
,51,31,.622,8.0,95.1,91.0,4.27,Houston Rockets*,2005
,45,37,.549,14.0,93.4,91.1,2.64,Memphis Grizzlies*,2005
,18,64,.220,41.0,88.4,95.5,-6.30,New Orleans Hornets,2005
New Jersey Nets*,49,33,.598,—,93.8,92.4,1.11,,2006
Philadelphia 76ers,38,44,.463,11.0,99.4,101.3,-2.10,,2006
Boston Celtics,33,49,.402,16.0,98.0,99.5,-1.59,,2006
Toronto Raptors,27,55,.329,22.0,101.1,104.0,-3.03,,2006
New York Knicks,23,59,.280,26.0,95.6,102.0,-6.30,,2006
Detroit Pistons*,64,18,.780,—,96.8,90.2,6.24,,2006
Cleveland Cavaliers*,50,32,.610,14.0,97.6,95.4,2.17,,2006
Indiana Pacers*,41,41,.500,23.0,93.9,92.0,1.62,,2006
Chicago Bulls*,41,41,.500,23.0,97.8,97.2,0.51,,2006
Milwaukee Bucks*,40,42,.488,24.0,97.8,98.8,-1.07,,2006
Miami Heat*,52,30,.634,—,99.9,96.0,3.59,,2006
Washington Wizards*,42,40,.512,10.0,101.7,99.8,1.57,,2006
Orlando Magic,36,46,.439,16.0,94.9,96.0,-1.26,,2006
Charlotte Bobcats,26,56,.317,26.0,96.9,100.9,-3.90,,2006
Atlanta Hawks,26,56,.317,26.0,97.2,102.0,-4.69,,2006
,44,38,.537,—,100.3,100.1,0.36,Denver Nuggets*,2006
,41,41,.500,3.0,92.4,95.0,-2.49,Utah Jazz,2006
,35,47,.427,9.0,102.6,105.6,-2.88,Seattle SuperSonics,2006
,33,49,.402,11.0,91.7,93.6,-1.75,Minnesota Timberwolves,2006
,21,61,.256,23.0,88.8,98.3,-8.91,Portland Trail Blazers,2006
,54,28,.659,—,108.4,102.8,5.48,Phoenix Suns*,2006
,47,35,.573,7.0,97.2,95.6,1.75,Los Angeles Clippers*,2006
,45,37,.549,9.0,99.4,96.9,2.53,Los Angeles Lakers*,2006
,44,38,.537,10.0,98.9,97.3,1.61,Sacramento Kings*,2006
,34,48,.415,20.0,98.5,99.8,-1.11,Golden State Warriors,2006
,63,19,.768,—,95.6,88.8,6.69,San Antonio Spurs*,2006
,60,22,.732,3.0,99.1,93.1,5.96,Dallas Mavericks*,2006
,49,33,.598,14.0,92.2,88.5,3.74,Memphis Grizzlies*,2006
,38,44,.463,25.0,92.8,95.6,-2.51,New Orleans/Oklahoma City Hornets,2006
,34,48,.415,29.0,90.1,91.7,-1.30,Houston Rockets,2006
Toronto Raptors*,47,35,.573,—,99.5,98.5,0.61,,2007
New Jersey Nets*,41,41,.500,6.0,97.6,98.3,-1.00,,2007
Philadelphia 76ers,35,47,.427,12.0,94.9,98.0,-3.26,,2007
New York Knicks,33,49,.402,14.0,97.5,100.3,-3.06,,2007
Boston Celtics,24,58,.293,23.0,95.8,99.2,-3.70,,2007
Detroit Pistons*,53,29,.646,—,96.0,91.8,3.69,,2007
Cleveland Cavaliers*,50,32,.610,3.0,96.8,92.9,3.33,,2007
Chicago Bulls*,49,33,.598,4.0,98.8,93.8,4.52,,2007
Indiana Pacers,35,47,.427,18.0,95.6,98.0,-2.62,,2007
Milwaukee Bucks,28,54,.341,25.0,99.7,104.0,-4.43,,2007
Miami Heat*,44,38,.537,—,94.6,95.5,-1.21,,2007
Washington Wizards*,41,41,.500,3.0,104.3,104.9,-0.80,,2007
Orlando Magic*,40,42,.488,4.0,94.8,94.0,0.35,,2007
Charlotte Bobcats,33,49,.402,11.0,96.9,100.6,-3.97,,2007
Atlanta Hawks,30,52,.366,14.0,93.7,98.4,-4.86,,2007
,51,31,.622,—,101.5,98.6,3.06,Utah Jazz*,2007
,45,37,.549,6.0,105.4,103.7,1.69,Denver Nuggets*,2007
,32,50,.390,19.0,94.1,98.4,-3.78,Portland Trail Blazers,2007
,32,50,.390,19.0,96.1,99.7,-3.16,Minnesota Timberwolves,2007
,31,51,.378,20.0,99.1,102.0,-2.45,Seattle SuperSonics,2007
,61,21,.744,—,110.2,102.9,7.28,Phoenix Suns*,2007
,42,40,.512,19.0,103.3,103.4,0.24,Los Angeles Lakers*,2007
,42,40,.512,19.0,106.5,106.9,0.00,Golden State Warriors*,2007
,40,42,.488,21.0,95.6,96.1,-0.07,Los Angeles Clippers,2007
,33,49,.402,28.0,101.3,103.1,-1.35,Sacramento Kings,2007
,67,15,.817,—,100.0,92.8,7.28,Dallas Mavericks*,2007
,58,24,.707,9.0,98.5,90.1,8.35,San Antonio Spurs*,2007
,52,30,.634,15.0,97.0,92.1,5.04,Houston Rockets*,2007
,39,43,.476,28.0,95.5,97.1,-1.19,New Orleans/Oklahoma City Hornets,2007
,22,60,.268,45.0,101.6,106.7,-4.44,Memphis Grizzlies,2007
Boston Celtics*,66,16,.805,—,100.5,90.3,9.30,,2008
Toronto Raptors*,41,41,.500,25.0,100.2,97.3,2.47,,2008
Philadelphia 76ers*,40,42,.488,26.0,96.6,96.2,0.19,,2008
New Jersey Nets,34,48,.415,32.0,95.8,100.9,-5.15,,2008
New York Knicks,23,59,.280,43.0,96.9,103.5,-6.55,,2008
Detroit Pistons*,59,23,.720,—,97.5,90.1,6.67,,2008
Cleveland Cavaliers*,45,37,.549,14.0,96.4,96.7,-0.53,,2008
Indiana Pacers,36,46,.439,23.0,104.0,105.4,-1.87,,2008
Chicago Bulls,33,49,.402,26.0,97.3,100.4,-3.19,,2008
Milwaukee Bucks,26,56,.317,33.0,97.0,103.9,-6.92,,2008
Orlando Magic*,52,30,.634,—,104.5,99.0,4.79,,2008
Washington Wizards*,43,39,.524,9.0,98.8,99.2,-0.61,,2008
Atlanta Hawks*,37,45,.451,15.0,98.2,100.0,-2.23,,2008
Charlotte Bobcats,32,50,.390,20.0,97.1,101.4,-4.49,,2008
Miami Heat,15,67,.183,37.0,91.4,100.0,-8.53,,2008
,54,28,.659,—,106.2,99.3,6.86,Utah Jazz*,2008
,50,32,.610,4.0,110.7,107.0,3.74,Denver Nuggets*,2008
,41,41,.500,13.0,95.4,96.3,-0.52,Portland Trail Blazers,2008
,22,60,.268,32.0,95.6,102.4,-6.26,Minnesota Timberwolves,2008
,20,62,.244,34.0,97.5,106.3,-8.04,Seattle SuperSonics,2008
,57,25,.695,—,108.6,101.3,7.34,Los Angeles Lakers*,2008
,55,27,.671,2.0,110.1,105.0,5.14,Phoenix Suns*,2008
,48,34,.585,9.0,111.0,108.8,2.38,Golden State Warriors,2008
,38,44,.463,19.0,102.5,104.8,-1.86,Sacramento Kings,2008
,23,59,.280,34.0,93.8,101.1,-6.56,Los Angeles Clippers,2008
,56,26,.683,—,100.9,95.6,5.46,New Orleans Hornets*,2008
,56,26,.683,—,95.4,90.6,5.10,San Antonio Spurs*,2008
,55,27,.671,1.0,96.7,92.0,4.83,Houston Rockets*,2008
,51,31,.622,5.0,100.4,95.9,4.70,Dallas Mavericks*,2008
,22,60,.268,34.0,100.7,106.9,-5.76,Memphis Grizzlies,2008
Boston Celtics*,62,20,.756,—,100.9,93.4,7.44,,2009
Philadelphia 76ers*,41,41,.500,21.0,97.4,97.3,0.16,,2009
New Jersey Nets,34,48,.415,28.0,98.1,100.5,-2.31,,2009
Toronto Raptors,33,49,.402,29.0,99.0,101.9,-2.54,,2009
New York Knicks,32,50,.390,30.0,105.2,107.8,-2.33,,2009
Cleveland Cavaliers*,66,16,.805,—,100.3,91.4,8.68,,2009
Chicago Bulls*,41,41,.500,25.0,102.2,102.5,-0.16,,2009
Detroit Pistons*,39,43,.476,27.0,94.2,94.7,-0.36,,2009
Indiana Pacers,36,46,.439,30.0,105.1,106.2,-0.76,,2009
Milwaukee Bucks,34,48,.415,32.0,99.3,100.4,-0.88,,2009
Orlando Magic*,59,23,.720,—,101.0,94.4,6.48,,2009
Atlanta Hawks*,47,35,.573,12.0,98.1,96.5,1.70,,2009
Miami Heat*,43,39,.524,16.0,98.3,98.0,0.49,,2009
Charlotte Bobcats,35,47,.427,24.0,93.6,94.9,-1.20,,2009
Washington Wizards,19,63,.232,40.0,96.1,103.5,-6.98,,2009
,54,28,.659,—,104.3,100.9,3.13,Denver Nuggets*,2009
,54,28,.659,—,99.4,94.1,5.00,Portland Trail Blazers*,2009
,48,34,.585,6.0,103.6,100.9,2.31,Utah Jazz*,2009
,24,58,.293,30.0,97.8,102.7,-4.74,Minnesota Timberwolves,2009
,23,59,.280,31.0,97.0,103.1,-6.04,Oklahoma City Thunder,2009
,65,17,.793,—,106.9,99.3,7.11,Los Angeles Lakers*,2009
,46,36,.561,19.0,109.4,107.5,1.62,Phoenix Suns,2009
,29,53,.354,36.0,108.6,112.3,-3.80,Golden State Warriors,2009
,19,63,.232,46.0,95.1,103.9,-8.47,Los Angeles Clippers,2009
,17,65,.207,48.0,100.6,109.3,-8.60,Sacramento Kings,2009
,54,28,.659,—,97.0,93.3,3.36,San Antonio Spurs*,2009
,53,29,.646,1.0,98.4,94.4,3.73,Houston Rockets*,2009
,50,32,.610,4.0,101.7,99.8,1.68,Dallas Mavericks*,2009
,49,33,.598,5.0,95.8,94.3,1.41,New Orleans Hornets*,2009
,24,58,.293,30.0,93.9,99.3,-5.23,Memphis Grizzlies,2009
Boston Celtics*,50,32,.610,—,99.2,95.6,3.37,,2010
Toronto Raptors,40,42,.488,10.0,104.1,105.9,-1.83,,2010
New York Knicks,29,53,.354,21.0,102.1,105.9,-4.01,,2010
Philadelphia 76ers,27,55,.329,23.0,97.7,101.6,-3.93,,2010
New Jersey Nets,12,70,.146,38.0,92.4,101.5,-8.93,,2010
Cleveland Cavaliers*,61,21,.744,—,102.1,95.6,6.17,,2010
Milwaukee Bucks*,46,36,.561,15.0,97.7,96.0,1.37,,2010
Chicago Bulls*,41,41,.500,20.0,97.5,99.1,-1.64,,2010
Indiana Pacers,32,50,.390,29.0,100.8,103.8,-3.11,,2010
Detroit Pistons,27,55,.329,34.0,94.0,99.1,-5.02,,2010
Orlando Magic*,59,23,.720,—,102.8,95.3,7.12,,2010
Atlanta Hawks*,53,29,.646,6.0,101.7,97.0,4.44,,2010
Miami Heat*,47,35,.573,12.0,96.5,94.2,1.99,,2010
Charlotte Bobcats*,44,38,.537,15.0,95.3,93.8,1.30,,2010
Washington Wizards,26,56,.317,33.0,96.2,101.0,-4.72,,2010
,53,29,.646,—,106.5,102.4,4.15,Denver Nuggets*,2010
,53,29,.646,—,104.2,98.9,5.33,Utah Jazz*,2010
,50,32,.610,3.0,98.1,94.8,3.18,Portland Trail Blazers*,2010
,50,32,.610,3.0,101.5,98.0,3.55,Oklahoma City Thunder*,2010
,15,67,.183,38.0,98.2,107.8,-9.06,Minnesota Timberwolves,2010
,57,25,.695,—,101.7,97.0,4.78,Los Angeles Lakers*,2010
,54,28,.659,3.0,110.2,105.3,4.67,Phoenix Suns*,2010
,29,53,.354,28.0,95.7,102.1,-6.01,Los Angeles Clippers,2010
,26,56,.317,31.0,108.8,112.4,-3.28,Golden State Warriors,2010
,25,57,.305,32.0,100.0,104.4,-4.06,Sacramento Kings,2010
,55,27,.671,—,102.0,99.3,2.66,Dallas Mavericks*,2010
,50,32,.610,5.0,101.4,96.3,5.07,San Antonio Spurs*,2010
,42,40,.512,13.0,102.4,102.7,-0.02,Houston Rockets,2010
,40,42,.488,15.0,102.5,104.0,-1.39,Memphis Grizzlies,2010
,37,45,.451,18.0,100.2,102.7,-2.27,New Orleans Hornets,2010
Boston Celtics*,56,26,.683,—,96.5,91.1,4.83,,2011
New York Knicks*,42,40,.512,14.0,106.5,105.7,0.48,,2011
Philadelphia 76ers*,41,41,.500,15.0,99.0,97.5,1.01,,2011
New Jersey Nets,24,58,.293,32.0,94.2,100.4,-6.28,,2011
Toronto Raptors,22,60,.268,34.0,99.1,105.4,-6.28,,2011
Chicago Bulls*,62,20,.756,—,98.6,91.3,6.53,,2011
Indiana Pacers*,37,45,.451,25.0,99.8,100.9,-1.38,,2011
Milwaukee Bucks,35,47,.427,27.0,91.9,92.7,-1.02,,2011
Detroit Pistons,30,52,.366,32.0,97.0,100.6,-3.78,,2011
Cleveland Cavaliers,19,63,.232,43.0,95.5,104.5,-8.88,,2011
Miami Heat*,58,24,.707,—,102.1,94.6,6.76,,2011
Orlando Magic*,52,30,.634,6.0,99.2,93.7,4.92,,2011
Atlanta Hawks*,44,38,.537,14.0,95.0,95.8,-1.10,,2011
Charlotte Bobcats,34,48,.415,24.0,93.3,97.3,-4.08,,2011
Washington Wizards,23,59,.280,35.0,97.3,104.7,-7.30,,2011
,55,27,.671,—,104.8,101.0,3.81,Oklahoma City Thunder*,2011
,50,32,.610,5.0,107.5,102.7,4.81,Denver Nuggets*,2011
,48,34,.585,7.0,96.3,94.8,1.85,Portland Trail Blazers*,2011
,39,43,.476,16.0,99.4,101.3,-1.44,Utah Jazz,2011
,17,65,.207,38.0,101.1,107.7,-5.97,Minnesota Timberwolves,2011
,57,25,.695,—,101.5,95.4,6.01,Los Angeles Lakers*,2011
,40,42,.488,17.0,105.0,105.9,-0.46,Phoenix Suns,2011
,36,46,.439,21.0,103.4,105.7,-2.00,Golden State Warriors,2011
,32,50,.390,25.0,98.6,101.8,-2.71,Los Angeles Clippers,2011
,24,58,.293,33.0,99.4,104.7,-4.80,Sacramento Kings,2011
,61,21,.744,—,103.7,98.0,5.86,San Antonio Spurs*,2011
,57,25,.695,4.0,100.2,96.0,4.41,Dallas Mavericks*,2011
,46,36,.561,15.0,94.9,94.0,1.28,New Orleans Hornets*,2011
,46,36,.561,15.0,99.9,97.6,2.55,Memphis Grizzlies*,2011
,43,39,.524,18.0,105.9,103.7,2.37,Houston Rockets,2011
Boston Celtics*,39,27,.591,—,91.8,89.3,2.26,,2012
New York Knicks*,36,30,.545,3.0,97.8,94.7,2.39,,2012
Philadelphia 76ers*,35,31,.530,4.0,93.6,89.4,3.59,,2012
Toronto Raptors,23,43,.348,16.0,90.7,94.0,-3.67,,2012
New Jersey Nets,22,44,.333,17.0,93.1,99.1,-6.37,,2012
Chicago Bulls*,50,16,.758,—,96.3,88.2,7.43,,2012
Indiana Pacers*,42,24,.636,8.0,97.7,94.4,2.60,,2012
Milwaukee Bucks,31,35,.470,19.0,99.0,98.7,-0.23,,2012
Detroit Pistons,25,41,.379,25.0,90.9,95.7,-5.19,,2012
Cleveland Cavaliers,21,45,.318,29.0,93.0,100.2,-7.34,,2012
Miami Heat*,46,20,.697,—,98.5,92.5,5.72,,2012
Atlanta Hawks*,40,26,.606,6.0,96.6,93.2,2.67,,2012
Orlando Magic*,37,29,.561,9.0,94.2,93.4,0.46,,2012
Washington Wizards,20,46,.303,26.0,93.6,98.4,-5.14,,2012
Charlotte Bobcats,7,59,.106,39.0,87.0,100.9,-13.96,,2012
,47,19,.712,—,103.1,96.9,6.44,Oklahoma City Thunder*,2012
,38,28,.576,9.0,104.1,101.2,3.16,Denver Nuggets*,2012
,36,30,.545,11.0,99.7,99.0,0.92,Utah Jazz*,2012
,28,38,.424,19.0,97.2,97.8,-0.22,Portland Trail Blazers,2012
,26,40,.394,21.0,97.9,100.1,-1.83,Minnesota Timberwolves,2012
,41,25,.621,—,97.3,95.9,1.96,Los Angeles Lakers*,2012
,40,26,.606,1.0,97.5,95.0,2.82,Los Angeles Clippers*,2012
,33,33,.500,8.0,98.4,98.6,0.29,Phoenix Suns,2012
,23,43,.348,18.0,97.8,101.2,-2.79,Golden State Warriors,2012
,22,44,.333,19.0,98.8,104.4,-4.95,Sacramento Kings,2012
,50,16,.758,—,103.7,96.5,7.28,San Antonio Spurs*,2012
,41,25,.621,9.0,95.0,93.0,2.43,Memphis Grizzlies*,2012
,36,30,.545,14.0,95.8,94.8,1.78,Dallas Mavericks*,2012
,34,32,.515,16.0,98.1,97.9,0.57,Houston Rockets,2012
,21,45,.318,29.0,89.6,93.4,-3.11,New Orleans Hornets,2012
New York Knicks*,54,28,.659,—,100.0,95.7,3.73,,2013
Brooklyn Nets*,49,33,.598,5.0,96.9,95.1,1.25,,2013
Boston Celtics*,41,40,.506,12.5,96.5,96.7,-0.62,,2013
Philadelphia 76ers,34,48,.415,20.0,93.2,96.5,-3.51,,2013
Toronto Raptors,34,48,.415,20.0,97.2,98.7,-1.96,,2013
Indiana Pacers*,49,32,.605,—,94.7,90.7,3.34,,2013
Chicago Bulls*,45,37,.549,4.5,93.2,92.9,-0.02,,2013
Milwaukee Bucks*,38,44,.463,11.5,98.9,100.4,-1.83,,2013
Detroit Pistons,29,53,.354,20.5,94.9,98.8,-4.33,,2013
Cleveland Cavaliers,24,58,.293,25.5,96.5,101.2,-4.87,,2013
Miami Heat*,66,16,.805,—,102.9,95.0,7.03,,2013
Atlanta Hawks*,44,38,.537,22.0,98.0,97.5,-0.08,,2013
Washington Wizards,29,53,.354,37.0,93.2,95.8,-2.78,,2013
Charlotte Bobcats,21,61,.256,45.0,93.4,102.7,-9.29,,2013
Orlando Magic,20,62,.244,46.0,94.1,101.1,-7.12,,2013
,60,22,.732,—,105.7,96.5,9.15,Oklahoma City Thunder*,2013
,57,25,.695,3.0,106.1,101.1,5.37,Denver Nuggets*,2013
,43,39,.524,17.0,98.0,98.1,0.30,Utah Jazz,2013
,33,49,.402,27.0,97.5,100.7,-2.53,Portland Trail Blazers,2013
,31,51,.378,29.0,95.7,98.1,-1.83,Minnesota Timberwolves,2013
,56,26,.683,—,101.1,94.6,6.43,Los Angeles Clippers*,2013
,47,35,.573,9.0,101.2,100.3,1.32,Golden State Warriors*,2013
,45,37,.549,11.0,102.2,101.0,1.48,Los Angeles Lakers*,2013
,28,54,.341,28.0,100.2,105.1,-4.26,Sacramento Kings,2013
,25,57,.305,31.0,95.2,101.6,-5.75,Phoenix Suns,2013
,58,24,.707,—,103.0,96.6,6.67,San Antonio Spurs*,2013
,56,26,.683,2.0,93.4,89.3,4.32,Memphis Grizzlies*,2013
,45,37,.549,13.0,106.0,102.5,3.69,Houston Rockets*,2013
,41,41,.500,17.0,101.1,101.7,-0.24,Dallas Mavericks,2013
,27,55,.329,31.0,94.1,97.9,-3.12,New Orleans Hornets,2013
Toronto Raptors*,48,34,.585,—,101.3,98.0,2.55,,2014
Brooklyn Nets*,44,38,.537,4.0,98.5,99.5,-1.58,,2014
New York Knicks,37,45,.451,11.0,98.6,99.4,-1.40,,2014
Boston Celtics,25,57,.305,23.0,96.2,100.7,-4.97,,2014
Philadelphia 76ers,19,63,.232,29.0,99.5,109.9,-10.66,,2014
Indiana Pacers*,56,26,.683,—,96.7,92.3,3.63,,2014
Chicago Bulls*,48,34,.585,8.0,93.7,91.8,1.20,,2014
Cleveland Cavaliers,33,49,.402,23.0,98.2,101.5,-3.86,,2014
Detroit Pistons,29,53,.354,27.0,101.0,104.7,-4.13,,2014
Milwaukee Bucks,15,67,.183,41.0,95.5,103.7,-8.41,,2014
Miami Heat*,54,28,.659,—,102.2,97.4,4.15,,2014
Washington Wizards*,44,38,.537,10.0,100.7,99.4,0.48,,2014
Charlotte Bobcats*,43,39,.524,11.0,96.9,97.1,-0.89,,2014
Atlanta Hawks*,38,44,.463,16.0,101.0,101.5,-0.88,,2014
Orlando Magic,23,59,.280,31.0,96.5,102.0,-5.88,,2014
,59,23,.720,—,106.2,99.8,6.66,Oklahoma City Thunder*,2014
,54,28,.659,5.0,106.7,102.8,4.44,Portland Trail Blazers*,2014
,40,42,.488,19.0,106.9,104.3,3.10,Minnesota Timberwolves,2014
,36,46,.439,23.0,104.4,106.5,-1.40,Denver Nuggets,2014
,25,57,.305,34.0,95.0,102.2,-6.27,Utah Jazz,2014
,57,25,.695,—,107.9,101.0,7.27,Los Angeles Clippers*,2014
,51,31,.622,6.0,104.3,99.5,5.15,Golden State Warriors*,2014
,48,34,.585,9.0,105.2,102.6,3.02,Phoenix Suns,2014
,28,54,.341,29.0,100.5,103.4,-2.08,Sacramento Kings,2014
,27,55,.329,30.0,103.0,109.2,-5.33,Los Angeles Lakers,2014
,62,20,.756,—,105.4,97.6,8.00,San Antonio Spurs*,2014
,54,28,.659,8.0,107.7,103.1,5.06,Houston Rockets*,2014
,50,32,.610,12.0,96.1,94.6,2.18,Memphis Grizzlies*,2014
,49,33,.598,13.0,104.8,102.4,2.91,Dallas Mavericks*,2014
,34,48,.415,28.0,99.7,102.4,-1.98,New Orleans Pelicans,2014
Toronto Raptors*,49,33,.598,—,104.0,100.9,2.45,,2015
