Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Year
,49,23,.681,3.5,116.3,109.9,6.66,Los Angeles Clippers*,2020
,46,27,.630,7.0,111.3,109.2,2.35,Denver Nuggets*,2020
,44,28,.611,8.5,117.8,114.8,3.13,Houston Rockets*,2020
,44,28,.611,8.5,110.4,108.4,2.33,Oklahoma City Thunder*,2020
,44,28,.611,8.5,111.3,108.8,2.52,Utah Jazz*,2020
,43,32,.573,11.0,117.0,112.1,4.87,Dallas Mavericks*,2020
,35,39,.473,18.5,115.0,116.1,-0.61,Portland Trail Blazers*,2020
,34,39,.466,19.0,112.6,113.7,-0.91,Memphis Grizzlies,2020
,34,39,.466,19.0,113.6,113.4,0.56,Phoenix Suns,2020
,32,39,.451,20.0,114.1,115.2,-0.65,San Antonio Spurs,2020
,31,41,.431,21.5,110.1,112.1,-1.59,Sacramento Kings,2020
,30,42,.417,22.5,115.8,117.1,-0.55,New Orleans Pelicans,2020
,19,45,.297,29.5,113.3,117.5,-4.02,Minnesota Timberwolves,2020
,15,50,.231,34.0,106.3,115.0,-8.12,Golden State Warriors,2020
Philadelphia 76ers*,49,23,.681,—,113.6,108.1,5.28,,2021
Brooklyn Nets*,48,24,.667,1.0,118.6,114.1,4.24,,2021
New York Knicks*,41,31,.569,8.0,107.0,104.7,2.13,,2021
Boston Celtics*,36,36,.500,13.0,112.6,111.2,1.32,,2021
Toronto Raptors,27,45,.375,22.0,111.3,111.7,-0.54,,2021
Milwaukee Bucks*,46,26,.639,—,120.1,114.2,5.57,,2021
Indiana Pacers,34,38,.472,12.0,115.3,115.3,-0.13,,2021
Chicago Bulls,31,41,.431,15.0,110.7,111.6,-0.94,,2021
Cleveland Cavaliers,22,50,.306,24.0,103.8,112.3,-8.19,,2021
Detroit Pistons,20,52,.278,26.0,106.6,111.1,-4.38,,2021
Atlanta Hawks*,41,31,.569,—,113.7,111.4,2.14,,2021
Miami Heat*,40,32,.556,1.0,108.1,108.0,-0.06,,2021
Washington Wizards*,34,38,.472,7.0,116.6,118.5,-1.85,,2021
Charlotte Hornets,33,39,.458,8.0,109.5,111.4,-1.94,,2021
Orlando Magic,21,51,.292,20.0,104.0,113.3,-9.02,,2021
,52,20,.722,—,116.4,107.2,8.97,Utah Jazz*,2021
,47,25,.653,5.0,115.1,110.1,4.82,Denver Nuggets*,2021
,42,30,.583,10.0,116.1,114.3,1.81,Portland Trail Blazers*,2021
,23,49,.319,29.0,112.1,117.7,-5.25,Minnesota Timberwolves,2021
,22,50,.306,30.0,105.0,115.6,-10.13,Oklahoma City Thunder,2021
,51,21,.708,—,115.3,109.5,5.67,Phoenix Suns*,2021
,47,25,.653,4.0,114.0,107.8,6.02,Los Angeles Clippers*,2021
,42,30,.583,9.0,109.5,106.8,2.77,Los Angeles Lakers*,2021
,39,33,.542,12.0,113.7,112.7,1.10,Golden State Warriors,2021
,31,41,.431,20.0,113.7,117.4,-3.45,Sacramento Kings,2021
,42,30,.583,—,112.4,110.2,2.26,Dallas Mavericks*,2021
,38,34,.528,4.0,113.3,112.3,1.07,Memphis Grizzlies*,2021
,33,39,.458,9.0,111.1,112.8,-1.58,San Antonio Spurs,2021
,31,41,.431,11.0,114.6,114.9,-0.20,New Orleans Pelicans,2021
,17,55,.236,25.0,108.8,116.7,-7.50,Houston Rockets,2021
Philadelphia 76ers*,49,23,.681,—,113.6,108.1,5.28,,2021
Brooklyn Nets*,48,24,.667,1.0,118.6,114.1,4.24,,2021
Milwaukee Bucks*,46,26,.639,3.0,120.1,114.2,5.57,,2021
New York Knicks*,41,31,.569,8.0,107.0,104.7,2.13,,2021
Atlanta Hawks*,41,31,.569,8.0,113.7,111.4,2.14,,2021
Miami Heat*,40,32,.556,9.0,108.1,108.0,-0.06,,2021
Boston Celtics*,36,36,.500,13.0,112.6,111.2,1.32,,2021
Washington Wizards*,34,38,.472,15.0,116.6,118.5,-1.85,,2021
Indiana Pacers,34,38,.472,15.0,115.3,115.3,-0.13,,2021
Charlotte Hornets,33,39,.458,16.0,109.5,111.4,-1.94,,2021
Chicago Bulls,31,41,.431,18.0,110.7,111.6,-0.94,,2021
Toronto Raptors,27,45,.375,22.0,111.3,111.7,-0.54,,2021
Cleveland Cavaliers,22,50,.306,27.0,103.8,112.3,-8.19,,2021
Orlando Magic,21,51,.292,28.0,104.0,113.3,-9.02,,2021
Detroit Pistons,20,52,.278,29.0,106.6,111.1,-4.38,,2021
,52,20,.722,—,116.4,107.2,8.97,Utah Jazz*,2021
,51,21,.708,1.0,115.3,109.5,5.67,Phoenix Suns*,2021
,47,25,.653,5.0,115.1,110.1,4.82,Denver Nuggets*,2021
,47,25,.653,5.0,114.0,107.8,6.02,Los Angeles Clippers*,2021
,42,30,.583,10.0,112.4,110.2,2.26,Dallas Mavericks*,2021
,42,30,.583,10.0,116.1,114.3,1.81,Portland Trail Blazers*,2021
,42,30,.583,10.0,109.5,106.8,2.77,Los Angeles Lakers*,2021
,39,33,.542,13.0,113.7,112.7,1.10,Golden State Warriors,2021
,38,34,.528,14.0,113.3,112.3,1.07,Memphis Grizzlies*,2021
,33,39,.458,19.0,111.1,112.8,-1.58,San Antonio Spurs,2021
,31,41,.431,21.0,114.6,114.9,-0.20,New Orleans Pelicans,2021
,31,41,.431,21.0,113.7,117.4,-3.45,Sacramento Kings,2021
,23,49,.319,29.0,112.1,117.7,-5.25,Minnesota Timberwolves,2021
,22,50,.306,30.0,105.0,115.6,-10.13,Oklahoma City Thunder,2021
,17,55,.236,35.0,108.8,116.7,-7.50,Houston Rockets,2021
Boston Celtics*,51,31,.622,—,111.8,104.5,7.02,,2022
Philadelphia 76ers*,51,31,.622,—,109.9,107.3,2.57,,2022
Toronto Raptors*,48,34,.585,3.0,109.4,107.1,2.38,,2022
Brooklyn Nets*,44,38,.537,7.0,112.9,112.1,0.82,,2022
New York Knicks,37,45,.451,14.0,106.5,106.6,-0.01,,2022
Milwaukee Bucks*,51,31,.622,—,115.5,112.1,3.22,,2022
Chicago Bulls*,46,36,.561,5.0,111.6,112.0,-0.38,,2022
Cleveland Cavaliers,44,38,.537,7.0,107.8,105.7,2.04,,2022
Indiana Pacers,25,57,.305,26.0,111.5,114.9,-3.26,,2022
Detroit Pistons,23,59,.280,28.0,104.8,112.5,-7.36,,2022
Miami Heat*,53,29,.646,—,110.0,105.6,4.23,,2022
Atlanta Hawks*,43,39,.524,10.0,113.9,112.4,1.55,,2022
Charlotte Hornets,43,39,.524,10.0,115.3,114.9,0.53,,2022
Washington Wizards,35,47,.427,18.0,108.6,112.0,-3.23,,2022
Orlando Magic,22,60,.268,31.0,104.2,112.2,-7.67,,2022
,49,33,.598,—,113.6,107.6,5.67,Utah Jazz*,2022
,48,34,.585,1.0,112.7,110.4,2.16,Denver Nuggets*,2022
,46,36,.561,3.0,115.9,113.3,2.53,Minnesota Timberwolves*,2022
,27,55,.329,22.0,106.2,115.1,-8.55,Portland Trail Blazers,2022
,24,58,.293,25.0,103.7,111.8,-7.90,Oklahoma City Thunder,2022
,64,18,.780,—,114.8,107.3,6.94,Phoenix Suns*,2022
,53,29,.646,11.0,111.0,105.5,5.52,Golden State Warriors*,2022
,42,40,.512,22.0,108.4,108.4,0.09,Los Angeles Clippers,2022
,33,49,.402,31.0,112.1,115.1,-3.08,Los Angeles Lakers,2022
,30,52,.366,34.0,110.3,115.8,-5.26,Sacramento Kings,2022
,56,26,.683,—,115.6,109.9,5.37,Memphis Grizzlies*,2022
,52,30,.634,4.0,108.0,104.7,3.12,Dallas Mavericks*,2022
,36,46,.439,20.0,109.3,110.3,-0.84,New Orleans Pelicans*,2022
,34,48,.415,22.0,113.2,113.0,0.02,San Antonio Spurs,2022
,20,62,.244,36.0,109.7,118.2,-8.26,Houston Rockets,2022
Miami Heat*,53,29,.646,—,110.0,105.6,4.23,,2022
Boston Celtics*,51,31,.622,2.0,111.8,104.5,7.02,,2022
Milwaukee Bucks*,51,31,.622,2.0,115.5,112.1,3.22,,2022
Philadelphia 76ers*,51,31,.622,2.0,109.9,107.3,2.57,,2022
Toronto Raptors*,48,34,.585,5.0,109.4,107.1,2.38,,2022
Chicago Bulls*,46,36,.561,7.0,111.6,112.0,-0.38,,2022
Brooklyn Nets*,44,38,.537,9.0,112.9,112.1,0.82,,2022
Cleveland Cavaliers,44,38,.537,9.0,107.8,105.7,2.04,,2022
Atlanta Hawks*,43,39,.524,10.0,113.9,112.4,1.55,,2022
Charlotte Hornets,43,39,.524,10.0,115.3,114.9,0.53,,2022
New York Knicks,37,45,.451,16.0,106.5,106.6,-0.01,,2022
Washington Wizards,35,47,.427,18.0,108.6,112.0,-3.23,,2022
Indiana Pacers,25,57,.305,28.0,111.5,114.9,-3.26,,2022
Detroit Pistons,23,59,.280,30.0,104.8,112.5,-7.36,,2022
Orlando Magic,22,60,.268,31.0,104.2,112.2,-7.67,,2022
,64,18,.780,—,114.8,107.3,6.94,Phoenix Suns*,2022
,56,26,.683,8.0,115.6,109.9,5.37,Memphis Grizzlies*,2022
,53,29,.646,11.0,111.0,105.5,5.52,Golden State Warriors*,2022
,52,30,.634,12.0,108.0,104.7,3.12,Dallas Mavericks*,2022
,49,33,.598,15.0,113.6,107.6,5.67,Utah Jazz*,2022
,48,34,.585,16.0,112.7,110.4,2.16,Denver Nuggets*,2022
,46,36,.561,18.0,115.9,113.3,2.53,Minnesota Timberwolves*,2022
,42,40,.512,22.0,108.4,108.4,0.09,Los Angeles Clippers,2022
,36,46,.439,28.0,109.3,110.3,-0.84,New Orleans Pelicans*,2022
,34,48,.415,30.0,113.2,113.0,0.02,San Antonio Spurs,2022
,33,49,.402,31.0,112.1,115.1,-3.08,Los Angeles Lakers,2022
,30,52,.366,34.0,110.3,115.8,-5.26,Sacramento Kings,2022
,27,55,.329,37.0,106.2,115.1,-8.55,Portland Trail Blazers,2022
,24,58,.293,40.0,103.7,111.8,-7.90,Oklahoma City Thunder,2022
,20,62,.244,44.0,109.7,118.2,-8.26,Houston Rockets,2022
Boston Celtics*,57,25,.695,—,117.9,111.4,6.38,,2023
Philadelphia 76ers*,54,28,.659,3.0,115.2,110.9,4.37,,2023
New York Knicks*,47,35,.573,10.0,116.0,113.1,2.99,,2023
Brooklyn Nets*,45,37,.549,12.0,113.4,112.5,1.03,,2023
Toronto Raptors,41,41,.500,16.0,112.9,111.4,1.59,,2023
Milwaukee Bucks*,58,24,.707,—,116.9,113.3,3.61,,2023
Cleveland Cavaliers*,51,31,.622,7.0,112.3,106.9,5.23,,2023
Chicago Bulls,40,42,.488,18.0,113.1,111.8,1.37,,2023
Indiana Pacers,35,47,.427,23.0,116.3,119.5,-2.91,,2023
Detroit Pistons,17,65,.207,41.0,110.3,118.5,-7.73,,2023
Miami Heat*,44,38,.537,—,109.5,109.8,-0.13,,2023
Atlanta Hawks*,41,41,.500,3.0,118.4,118.1,0.32,,2023
Washington Wizards,35,47,.427,9.0,113.2,114.4,-1.06,,2023
Orlando Magic,34,48,.415,10.0,111.4,114.0,-2.39,,2023
Charlotte Hornets,27,55,.329,17.0,111.0,117.2,-5.89,,2023
,53,29,.646,—,115.8,112.5,3.04,Denver Nuggets*,2023
,42,40,.512,11.0,115.8,115.8,-0.22,Minnesota Timberwolves*,2023
,40,42,.488,13.0,117.5,116.4,0.96,Oklahoma City Thunder,2023
,37,45,.451,16.0,117.1,118.0,-1.03,Utah Jazz,2023
,33,49,.402,20.0,113.4,117.4,-3.96,Portland Trail Blazers,2023
,48,34,.585,—,120.7,118.1,2.30,Sacramento Kings*,2023
,45,37,.549,3.0,113.6,111.6,2.08,Phoenix Suns*,2023
,44,38,.537,4.0,113.6,113.1,0.31,Los Angeles Clippers*,2023
,44,38,.537,4.0,118.9,117.1,1.66,Golden State Warriors*,2023
,43,39,.524,5.0,117.2,116.6,0.43,Los Angeles Lakers*,2023
,51,31,.622,—,116.9,113.0,3.60,Memphis Grizzlies*,2023
,42,40,.512,9.0,114.4,112.5,1.63,New Orleans Pelicans,2023
,38,44,.463,13.0,114.2,114.1,-0.14,Dallas Mavericks,2023
,22,60,.268,29.0,110.7,118.6,-7.62,Houston Rockets,2023
,22,60,.268,29.0,113.0,123.1,-9.82,San Antonio Spurs,2023
Milwaukee Bucks*,58,24,.707,—,116.9,113.3,3.61,,2023
Boston Celtics*,57,25,.695,1.0,117.9,111.4,6.38,,2023
Philadelphia 76ers*,54,28,.659,4.0,115.2,110.9,4.37,,2023
Cleveland Cavaliers*,51,31,.622,7.0,112.3,106.9,5.23,,2023
New York Knicks*,47,35,.573,11.0,116.0,113.1,2.99,,2023
Brooklyn Nets*,45,37,.549,13.0,113.4,112.5,1.03,,2023
Miami Heat*,44,38,.537,14.0,109.5,109.8,-0.13,,2023
Atlanta Hawks*,41,41,.500,17.0,118.4,118.1,0.32,,2023
Toronto Raptors,41,41,.500,17.0,112.9,111.4,1.59,,2023
Chicago Bulls,40,42,.488,18.0,113.1,111.8,1.37,,2023
Indiana Pacers,35,47,.427,23.0,116.3,119.5,-2.91,,2023
Washington Wizards,35,47,.427,23.0,113.2,114.4,-1.06,,2023
Orlando Magic,34,48,.415,24.0,111.4,114.0,-2.39,,2023
Charlotte Hornets,27,55,.329,31.0,111.0,117.2,-5.89,,2023
Detroit Pistons,17,65,.207,41.0,110.3,118.5,-7.73,,2023
,53,29,.646,—,115.8,112.5,3.04,Denver Nuggets*,2023
,51,31,.622,2.0,116.9,113.0,3.60,Memphis Grizzlies*,2023
,48,34,.585,5.0,120.7,118.1,2.30,Sacramento Kings*,2023
,45,37,.549,8.0,113.6,111.6,2.08,Phoenix Suns*,2023
,44,38,.537,9.0,113.6,113.1,0.31,Los Angeles Clippers*,2023
,44,38,.537,9.0,118.9,117.1,1.66,Golden State Warriors*,2023
,43,39,.524,10.0,117.2,116.6,0.43,Los Angeles Lakers*,2023
,42,40,.512,11.0,115.8,115.8,-0.22,Minnesota Timberwolves*,2023
,42,40,.512,11.0,114.4,112.5,1.63,New Orleans Pelicans,2023
,40,42,.488,13.0,117.5,116.4,0.96,Oklahoma City Thunder,2023
,38,44,.463,15.0,114.2,114.1,-0.14,Dallas Mavericks,2023
,37,45,.451,16.0,117.1,118.0,-1.03,Utah Jazz,2023
,33,49,.402,20.0,113.4,117.4,-3.96,Portland Trail Blazers,2023
,22,60,.268,31.0,110.7,118.6,-7.62,Houston Rockets,2023
,22,60,.268,31.0,113.0,123.1,-9.82,San Antonio Spurs,2023
Boston Celtics*,64,18,.780,—,120.6,109.2,10.75,,2024
New York Knicks*,50,32,.610,14.0,112.8,108.2,4.36,,2024
Philadelphia 76ers*,47,35,.573,17.0,114.6,111.5,2.51,,2024
Brooklyn Nets,32,50,.390,32.0,110.4,113.3,-3.02,,2024
Toronto Raptors,25,57,.305,39.0,112.4,118.8,-6.45,,2024
Milwaukee Bucks*,49,33,.598,—,119.0,116.4,2.44,,2024
Cleveland Cavaliers*,48,34,.585,1.0,112.6,110.2,1.98,,2024
Indiana Pacers*,47,35,.573,2.0,123.3,120.2,2.75,,2024
Chicago Bulls,39,43,.476,10.0,112.3,113.7,-1.77,,2024
Detroit Pistons,14,68,.171,35.0,109.9,119.0,-9.06,,2024
Orlando Magic*,47,35,.573,—,110.5,108.4,1.48,,2024
Miami Heat*,46,36,.561,1.0,110.1,108.4,1.10,,2024
Atlanta Hawks,36,46,.439,11.0,118.3,120.5,-2.38,,2024
Charlotte Hornets,21,61,.256,26.0,106.6,116.8,-10.12,,2024
Washington Wizards,15,67,.183,32.0,113.7,123.0,-9.29,,2024
,57,25,.695,—,120.1,112.7,7.36,Oklahoma City Thunder*,2024
,57,25,.695,—,114.9,109.6,5.23,Denver Nuggets*,2024
,56,26,.683,1.0,113.0,106.5,6.39,Minnesota Timberwolves*,2024
,31,51,.378,26.0,115.7,120.5,-4.22,Utah Jazz,2024
,21,61,.256,36.0,106.4,115.4,-8.29,Portland Trail Blazers,2024
,51,31,.622,—,115.6,112.3,3.41,Los Angeles Clippers*,2024
,49,33,.598,2.0,116.2,113.2,3.08,Phoenix Suns*,2024
,47,35,.573,4.0,118.0,117.4,1.07,Los Angeles Lakers*,2024
,46,36,.561,5.0,116.6,114.8,2.29,Sacramento Kings,2024
,46,36,.561,5.0,117.8,115.2,2.77,Golden State Warriors,2024
,50,32,.610,—,117.9,115.6,2.30,Dallas Mavericks*,2024
,49,33,.598,1.0,115.1,110.7,4.46,New Orleans Pelicans*,2024
,41,41,.500,9.0,114.3,113.2,1.24,Houston Rockets,2024
,27,55,.329,23.0,105.8,112.8,-6.57,Memphis Grizzlies,2024
,22,60,.268,28.0,112.1,118.6,-5.80,San Antonio Spurs,2024
Boston Celtics*,64,18,.780,—,120.6,109.2,10.75,,2024
New York Knicks*,50,32,.610,14.0,112.8,108.2,4.36,,2024
Milwaukee Bucks*,49,33,.598,15.0,119.0,116.4,2.44,,2024
Cleveland Cavaliers*,48,34,.585,16.0,112.6,110.2,1.98,,2024
Orlando Magic*,47,35,.573,17.0,110.5,108.4,1.48,,2024
Indiana Pacers*,47,35,.573,17.0,123.3,120.2,2.75,,2024
Philadelphia 76ers*,47,35,.573,17.0,114.6,111.5,2.51,,2024
Miami Heat*,46,36,.561,18.0,110.1,108.4,1.10,,2024
Chicago Bulls,39,43,.476,25.0,112.3,113.7,-1.77,,2024
Atlanta Hawks,36,46,.439,28.0,118.3,120.5,-2.38,,2024
Brooklyn Nets,32,50,.390,32.0,110.4,113.3,-3.02,,2024
Toronto Raptors,25,57,.305,39.0,112.4,118.8,-6.45,,2024
Charlotte Hornets,21,61,.256,43.0,106.6,116.8,-10.12,,2024
Washington Wizards,15,67,.183,49.0,113.7,123.0,-9.29,,2024
Detroit Pistons,14,68,.171,50.0,109.9,119.0,-9.06,,2024
,57,25,.695,—,120.1,112.7,7.36,Oklahoma City Thunder*,2024
,57,25,.695,—,114.9,109.6,5.23,Denver Nuggets*,2024
,56,26,.683,1.0,113.0,106.5,6.39,Minnesota Timberwolves*,2024
,51,31,.622,6.0,115.6,112.3,3.41,Los Angeles Clippers*,2024
,50,32,.610,7.0,117.9,115.6,2.30,Dallas Mavericks*,2024
,49,33,.598,8.0,116.2,113.2,3.08,Phoenix Suns*,2024
,49,33,.598,8.0,115.1,110.7,4.46,New Orleans Pelicans*,2024
,47,35,.573,10.0,118.0,117.4,1.07,Los Angeles Lakers*,2024
,46,36,.561,11.0,116.6,114.8,2.29,Sacramento Kings,2024
,46,36,.561,11.0,117.8,115.2,2.77,Golden State Warriors,2024
,41,41,.500,16.0,114.3,113.2,1.24,Houston Rockets,2024
,31,51,.378,26.0,115.7,120.5,-4.22,Utah Jazz,2024
,27,55,.329,30.0,105.8,112.8,-6.57,Memphis Grizzlies,2024
,22,60,.268,35.0,112.1,118.6,-5.80,San Antonio Spurs,2024
,21,61,.256,36.0,106.4,115.4,-8.29,Portland Trail Blazers,2024
Boston Celtics*,61,21,.744,—,116.3,107.2,8.28,,2025
New York Knicks*,51,31,.622,10.0,115.8,111.7,3.59,,2025
Toronto Raptors,30,52,.366,31.0,110.9,115.2,-4.40,,2025
Brooklyn Nets,26,56,.317,35.0,105.1,112.2,-6.95,,2025
Philadelphia 76ers,24,58,.293,37.0,109.6,115.8,-6.29,,2025
Cleveland Cavaliers*,64,18,.780,—,121.9,112.4,8.81,,2025
Indiana Pacers*,50,32,.610,14.0,117.4,115.1,1.68,,2025
Milwaukee Bucks*,48,34,.585,16.0,115.5,113.0,2.12,,2025
Detroit Pistons*,44,38,.537,20.0,115.5,113.6,1.73,,2025
Chicago Bulls,39,43,.476,25.0,117.8,119.4,-1.83,,2025
Orlando Magic*,41,41,.500,—,105.4,105.5,-0.70,,2025
Atlanta Hawks,40,42,.488,1.0,118.2,119.3,-1.41,,2025
Miami Heat*,37,45,.451,4.0,110.6,110.0,0.11,,2025
Charlotte Hornets,19,63,.232,22.0,105.1,114.2,-9.10,,2025
Washington Wizards,18,64,.220,23.0,108.0,120.4,-12.14,,2025
,68,14,.829,—,120.5,107.6,12.70,Oklahoma City Thunder*,2025
,50,32,.610,18.0,120.8,116.9,3.97,Denver Nuggets*,2025
,49,33,.598,19.0,114.3,109.3,5.15,Minnesota Timberwolves*,2025
,36,46,.439,32.0,110.9,113.9,-2.67,Portland Trail Blazers,2025
,17,65,.207,51.0,111.9,121.2,-8.51,Utah Jazz,2025
,50,32,.610,—,113.4,112.2,1.45,Los Angeles Lakers*,2025
,50,32,.610,—,112.9,108.2,4.84,Los Angeles Clippers*,2025
,48,34,.585,2.0,113.8,110.5,3.56,Golden State Warriors*,2025
,40,42,.488,10.0,115.7,115.3,0.58,Sacramento Kings,2025
,36,46,.439,14.0,113.6,116.6,-2.55,Phoenix Suns,2025
,52,30,.634,—,114.3,109.8,4.97,Houston Rockets*,2025
,48,34,.585,4.0,121.7,116.9,4.79,Memphis Grizzlies*,2025
,39,43,.476,13.0,114.2,115.4,-0.74,Dallas Mavericks,2025
,34,48,.415,18.0,113.9,116.7,-2.45,San Antonio Spurs,2025
,21,61,.256,31.0,109.8,119.3,-8.59,New Orleans Pelicans,2025
Cleveland Cavaliers*,64,18,.780,—,121.9,112.4,8.81,,2025
Boston Celtics*,61,21,.744,3.0,116.3,107.2,8.28,,2025
New York Knicks*,51,31,.622,13.0,115.8,111.7,3.59,,2025
Indiana Pacers*,50,32,.610,14.0,117.4,115.1,1.68,,2025
Milwaukee Bucks*,48,34,.585,16.0,115.5,113.0,2.12,,2025
Detroit Pistons*,44,38,.537,20.0,115.5,113.6,1.73,,2025
Orlando Magic*,41,41,.500,23.0,105.4,105.5,-0.70,,2025
Atlanta Hawks,40,42,.488,24.0,118.2,119.3,-1.41,,2025
Chicago Bulls,39,43,.476,25.0,117.8,119.4,-1.83,,2025
Miami Heat*,37,45,.451,27.0,110.6,110.0,0.11,,2025
Toronto Raptors,30,52,.366,34.0,110.9,115.2,-4.40,,2025
Brooklyn Nets,26,56,.317,38.0,105.1,112.2,-6.95,,2025
Philadelphia 76ers,24,58,.293,40.0,109.6,115.8,-6.29,,2025
Charlotte Hornets,19,63,.232,45.0,105.1,114.2,-9.10,,2025
Washington Wizards,18,64,.220,46.0,108.0,120.4,-12.14,,2025
,68,14,.829,—,120.5,107.6,12.70,Oklahoma City Thunder*,2025
,52,30,.634,16.0,114.3,109.8,4.97,Houston Rockets*,2025
,50,32,.610,18.0,113.4,112.2,1.45,Los Angeles Lakers*,2025
,50,32,.610,18.0,120.8,116.9,3.97,Denver Nuggets*,2025
,50,32,.610,18.0,112.9,108.2,4.84,Los Angeles Clippers*,2025
,49,33,.598,19.0,114.3,109.3,5.15,Minnesota Timberwolves*,2025
,48,34,.585,20.0,113.8,110.5,3.56,Golden State Warriors*,2025
,48,34,.585,20.0,121.7,116.9,4.79,Memphis Grizzlies*,2025
,40,42,.488,28.0,115.7,115.3,0.58,Sacramento Kings,2025
,39,43,.476,29.0,114.2,115.4,-0.74,Dallas Mavericks,2025
,36,46,.439,32.0,113.6,116.6,-2.55,Phoenix Suns,2025
,36,46,.439,32.0,110.9,113.9,-2.67,Portland Trail Blazers,2025
,34,48,.415,34.0,113.9,116.7,-2.45,San Antonio Spurs,2025
,21,61,.256,47.0,109.8,119.3,-8.59,New Orleans Pelicans,2025
,17,65,.207,51.0,111.9,121.2,-8.51,Utah Jazz,2025
